"Area Code","Area Description","Jur Code","Jur Description","Roll Number","Neigh Code","Neigh Description","Property Address","Street Name","Legal Description",PID,"Primary Actual Use Code","Primary Actual Use Desc","Pred Manual Class Code","Pred Manual Class Desc","Land Actual Value","Improvement Actual Value","Total Actual Value","Land Dimension","Land Size","Land Depth","Document Number 1","Sale Date 1","Sale Price 1","Sale Type 1","Sale Category 1","Sale Status 1","Multi Sale Flag 1","Document No 2","Sale Date 2","Sale Price 2","Sale Type 2","Sale Category 2","Sale Status 2","Multi Sale Flag 2","Document No 3","Sale Date 3","Sale Price 3","Sale Type 3","Sale Category 3","Sale Status 3","Multi Sale Flag 3",lat,lng
23,Kamloops,212,"City of Kamloops",0100172345,001,"Downtown Retail, Comm, Indust","UNIT 410 436 LORNE ST","LORNE ST","Strata Lot 50, Plan KAS2655, District Lot 232, Kamloops Div of Yale Land District, TOGETHER WITH AN INTEREST IN THE COMMON PROPERTY IN PROPORTION TO THE UNIT ENTITLEMENT OF THE STRATA LOT AS SHOWN ON FORM 1 OR V, AS APPROPRIATE",025-943-341,030,"Strata-Lot Residence (Condominium)",D702,"Strata Apartment - Frame",211000,200000,411000,,,,CA6603143,31JAN2018,411000,Sale,Improved,Reject,F,CA4121915,05DEC2014,400000,Sale,Improved,Reject,F,KW84933,29JUN2004,226880,Sale,Improved,Qualified,F,50.6782921,-120.3318557
23,Kamloops,212,"City of Kamloops",0100182507,001,"Downtown Retail, Comm, Indust","UNIT 103 550 LORNE ST","LORNE ST","Strata Lot 7, Plan KAS2989, District Lot 232, Kamloops Div of Yale Land District, TOGETHER WITH AN INTEREST IN THE COMMON PROPERTY IN PROPORTION TO THE UNIT ENTITLEMENT OF THE STRATA LOT AS SHOWN ON FORM 1 OR V, AS APPROPRIATE",026-629-101,030,"Strata-Lot Residence (Condominium)",D702,"Strata Apartment - Frame",99700,97900,197600,,,,CA6599770,31JAN2018,251000,Sale,Improved,Qualified,F,CA4840965,30NOV2015,219000,Sale,Improved,Qualified,F,CA2236051,21SEP2011,208500,Sale,Improved,Qualified,F,50.6786353,-120.327984
23,Kamloops,212,"City of Kamloops",0100200800,001,"Downtown Retail, Comm, Indust","UNIT 101 490 LORNE ST","LORNE ST","Strata Lot 1, Plan KAS2086, District Lot 232, Kamloops Div of Yale Land District, TOGETHER WITH AN INTEREST IN THE COMMON PROPERTY IN PROPORTION TO THE UNIT ENTITLEMENT OF THE STRATA LOT AS SHOWN ON FORM 1",024-284-467,030,"Strata-Lot Residence (Condominium)",D702,"Strata Apartment - Frame",112000,147000,259000,,,,CA6565182,15JAN2018,323500,Sale,Improved,Qualified,F,CA3051906,28MAR2013,229100,Sale,Improved,Qualified,F,LB328548,31JUL2009,215100,Sale,Improved,Qualified,F,50.6783746,-120.3300394
23,Kamloops,540,"District of Lillooet",00108093,540,"Village Of Lillooet","668 COLUMBIA ST","COLUMBIA ST","Lot 94, Block 1, Plan KAP1099, Lillooet Land District, TOWNSITE OF LILLOOET",011-813-237,000,"Single Family Dwelling",0080,"1 Sty Sfd - After 1930 - Fair",43800,118000,161800,"Width * Depth",66,105.6,CA6627945,15FEB2018,100000,Sale,Improved,Qualified,F,KJ55440,14JUL1995,69500,Sale,Improved,Qualified,T,,,,,,,,50.6921146,-121.9419312
23,Kamloops,212,"City of Kamloops",0100200822,001,"Downtown Retail, Comm, Indust","UNIT 204 490 LORNE ST","LORNE ST","Strata Lot 12, Plan KAS2086, District Lot 232, Kamloops Div of Yale Land District, TOGETHER WITH AN INTEREST IN THE COMMON PROPERTY IN PROPORTION TO THE UNIT ENTITLEMENT OF THE STRATA LOT AS SHOWN ON FORM 1 OR V, AS APPROPRIATE",024-284-572,030,"Strata-Lot Residence (Condominium)",D702,"Strata Apartment - Frame",130000,146000,276000,,,,CA6668978,08MAR2018,290000,Sale,Improved,Qualified,F,KW61019,19MAY2004,139000,Sale,Improved,Qualified,F,KV74348,27JUN2003,128500,Sale,Improved,Qualified,F,50.6783746,-120.3300394
23,Kamloops,540,"District of Lillooet",00135725,410,"Old Hop Farm","1340 MOHA RD","MOHA RD","Lot 76, Plan KAP10764, District Lot 162, Lillooet Land District",009-538-062,000,"Single Family Dwelling",1621,"Manufactured Home-Double Wide -Low Q",71500,36000,107500,Acres,0.93,,LB560673,31JAN2018,107500,Sale,Improved,Reject,F,,,,,,,,,,,,,,,50.713469,-121.9258764
23,Kamloops,540,"District of Lillooet",00135767,410,"Old Hop Farm","230 REYNOLDS RD","REYNOLDS RD","Parcel A, Plan KAP18719, District Lot 162, Lillooet Land District, OF L 92 SEE M10863F",001-575-503,000,"Single Family Dwelling",0090,"1 Sty Sfd - After 1930 - Std",63700,165000,228700,Acres,0.48,,CA6572683,17JAN2018,265000,Sale,Improved,Qualified,F,KT102199,18SEP2002,107400,Sale,Improved,Qualified,F,KM117131,26NOV1998,105000,Sale,Improved,Qualified,F,50.7147207,-121.9209987
23,Kamloops,540,"District of Lillooet",00135818,410,"Old Hop Farm","118 DAVIDSON CRES","DAVIDSON CRES","Lot 118, Plan KAP18719, District Lot 162, Lillooet Land District",007-722-478,001,"Vacant Residential Less Than 2 Acres",,"Not Stated",62800,0,62800,Acres,0.52,,CA6590134,26JAN2018,95000,Sale,Vacant,Qualified,F,CA4971991,04FEB2016,55000,Sale,Vacant,Qualified,F,LA156678,10NOV2006,48000,Sale,Improved,Qualified,F,50.7187968,-121.9219595
23,Kamloops,540,"District of Lillooet",00135906,410,"Old Hop Farm","22 HOMESTEAD RD","HOMESTEAD RD","Lot 162, Plan KAP18719, District Lot 162, Lillooet Land District",008-215-286,000,"Single Family Dwelling",0080,"1 Sty Sfd - After 1930 - Fair",62900,116000,178900,Acres,0.5,,CA6674724,13MAR2018,138800,Sale,Improved,Reject,T,CA6284285,08SEP2017,138800,Sale,Improved,Reject,F,,,,,,,,50.7223018,-121.9235743
23,Kamloops,540,"District of Lillooet",00135924,410,"Old Hop Farm","471 SHORT RD","SHORT RD","Lot 2, Plan KAP21022, District Lot 162 & 8361, Lillooet Land District",007-649-118,032,"Residential Dwelling with Suite",0090,"1 Sty Sfd - After 1930 - Std",71300,196000,267300,Acres,1.32,,CA6662977,06MAR2018,267300,Sale,Improved,Reject,F,LB333163,21AUG2009,204200,Sale,Improved,Reject,F,,,,,,,,50.7200876,-121.9202515
