"Area Code","Area Description","Jur Code","Jur Description","Roll Number","Neigh Code","Neigh Description","Property Address","Street Name","Legal Description",PID,"Primary Actual Use Code","Primary Actual Use Desc","Pred Manual Class Code","Pred Manual Class Desc","Land Actual Value","Improvement Actual Value","Total Actual Value","Land Dimension","Land Size","Land Depth","Document Number 1","Sale Date 1","Sale Price 1","Sale Type 1","Sale Category 1","Sale Status 1","Multi Sale Flag 1","Document No 2","Sale Date 2","Sale Price 2","Sale Type 2","Sale Category 2","Sale Status 2","Multi Sale Flag 2","Document No 3","Sale Date 3","Sale Price 3","Sale Type 3","Sale Category 3","Sale Status 3","Multi Sale Flag 3",lat,lng
23,Kamloops,212,Kamloops,0100040000,001,"Downtown Retail, Comm, Indust","1586 LORNE ST E","LORNE ST","Lot B, Plan KAP4219, District Lot 235, Kamloops Div of Yale Land District",003-494-900,000,"Single Family Dwelling",0140,"1 Sty Sfd - After 1960 - Modern Std",515000,130000,645000,"Square Feet",16664,0,CA6411383,31OCT2017,610000,Sale,Improved,Qualified,F,KK63416,25JUL1996,120000,Sale,Improved,Qualified,F,X90485,07MAR1986,89500,Sale,Improved,Qualified,F,50.6736918,-120.2989455
23,Kamloops,212,Kamloops,0100182534,001,"Downtown Retail, Comm, Indust","UNIT 304 550 LORNE ST","LORNE ST","Strata Lot 34, Plan KAS2989, District Lot 232, Kamloops Div of Yale Land District, TOGETHER WITH AN INTEREST IN THE COMMON PROPERTY IN PROPORTION TO THE UNIT ENTITLEMENT OF THE STRATA LOT AS SHOWN ON FORM 1 OR V, AS APPROPRIATE",026-629-372,030,"Strata-Lot Residence (Condominium)",D702,"Strata Apartment - Frame",194000,219000,413000,,,,CA6536939,28DEC2017,395000,Sale,Improved,Qualified,F,CA1743931,24SEP2010,399900,Sale,Improved,Reject,F,LA100361,21JUL2006,276110,Sale,Improved,Qualified,F,50.6786353,-120.3279841
23,Kamloops,212,Kamloops,0100182537,001,"Downtown Retail, Comm, Indust","UNIT 307 550 LORNE ST","LORNE ST","Strata Lot 37, Plan KAS2989, District Lot 232, Kamloops Div of Yale Land District, TOGETHER WITH AN INTEREST IN THE COMMON PROPERTY IN PROPORTION TO THE UNIT ENTITLEMENT OF THE STRATA LOT AS SHOWN ON FORM 1 OR V, AS APPROPRIATE",026-629-402,030,"Strata-Lot Residence (Condominium)",D702,"Strata Apartment - Frame",182000,140000,322000,,,,CA6468567,27NOV2017,356000,Sale,Improved,Qualified,F,CA1484080,01FEB2010,301000,Sale,Improved,Qualified,F,LB103645,29AUG2007,286000,Sale,Improved,Qualified,F,50.6786353,-120.3279841
23,Kamloops,212,Kamloops,0100200912,001,"Downtown Retail, Comm, Indust","UNIT 309 510 LORNE ST","LORNE ST","Strata Lot 57, Plan KAS2086, District Lot 232, Kamloops Div of Yale Land District, TOGETHER WITH AN INTEREST IN THE COMMON PROPERTY IN PROPORTION TO THE UNIT ENTITLEMENT OF THE STRATA LOT AS SHOWN ON FORM 1 OR V, AS APPROPRIATE",024-285-021,030,"Strata-Lot Residence (Condominium)",D702,"Strata Apartment - Frame",109000,118000,227000,,,,CA6461683,23NOV2017,250000,Sale,Improved,Qualified,F,CA3064357,05APR2013,104500,Sale,Improved,Reject,F,CA472785,16MAY2007,205000,Sale,Improved,Qualified,F,50.6784663,-120.3292941
23,Kamloops,212,Kamloops,0100758000,001,"Downtown Retail, Comm, Indust","220 LANSDOWNE ST","LANSDOWNE ST","Lot 3, Block 19, Plan KAP193, District Lot 232, Kamloops Div of Yale Land District, RE-SURVEY SEE PL B5384",006-121-977,200,"Store(S) And Service Commercial",0805,"Warehouse & Workshop - 2 Sty Aver Qlty",134000,272000,406000,"Square Feet",2965,,CA6465154,24NOV2017,429409,Sale,Improved,Qualified,T,CA6377492,17OCT2017,499000,Sale,Improved,Reject,F,CA6377494,17OCT2017,499000,Sale,Improved,Reject,F,50.6768013,-120.3359309
23,Kamloops,212,Kamloops,0100759000,001,"Downtown Retail, Comm, Indust","230 LANSDOWNE ST","LANSDOWNE ST","Lot 4, Block 19, Plan KAP193, District Lot 232, Kamloops Div of Yale Land District",012-695-475,201,"Vacant IC&I",,"Not Stated",155000,0,155000,"Square Feet",3445,,CA6465155,24NOV2017,77591,Sale,Vacant,Qualified,T,KG73853,30JUL1993,45000,Sale,Vacant,Qualified,F,R43010F,15AUG1980,65000,Sale,Vacant,Qualified,F,50.6768008,-120.3357097
23,Kamloops,212,Kamloops,0100889000,090,"Apartment Folios","373 BATTLE ST","BATTLE ST","Lot 8, Plan KAP691, District Lot 232, Kamloops Div of Yale Land District",012-122-114,054,"Multi-Family (High-Rise)",B300,"Apartment (High Rise)",1504000,7141000,8645000,"Width * Depth",200,120,CA6362079,11OCT2017,11138828,Sale,Improved,Qualified,F,,,,,,,,,,,,,,,50.6729532,-120.3325686
23,Kamloops,212,Kamloops,0100910000,001,"Downtown Retail, Comm, Indust","369 ST PAUL ST","ST PAUL ST","Lot 9, Plan KAP194A, District Lot 232, Kamloops Div of Yale Land District",012-588-628,200,"Store(S) And Service Commercial",1507,"3 Sty Gen Comm - Average Quality",339000,239000,578000,"Square Feet",6000,,CA6364495,12OCT2017,575000,Sale,Improved,Qualified,F,,,,,,,,,,,,,,,50.6738128,-120.3324533
23,Kamloops,212,Kamloops,0100911009,001,"Downtown Retail, Comm, Indust","UNIT 9 430 4TH AVE","4TH AVE","Strata Lot 9, Plan KAS3164, District Lot 232, Kamloops Div of Yale Land District, TOGETHER WITH AN INTEREST IN THE COMMON PROPERTY IN PROPORTION TO THE UNIT ENTITLEMENT OF THE STRATA LOT AS SHOWN ON FORM 1 OR V, AS APPROPRIATE",026-948-745,030,"Strata-Lot Residence (Condominium)",D702,"Strata Apartment - Frame",123000,178000,301000,,,,CA6415593,01NOV2017,279900,Sale,Improved,Qualified,F,CA4661905,08SEP2015,272000,Sale,Improved,Reject,F,LB82967,18JUN2007,253000,Sale,Improved,Qualified,F,50.6738241,-120.3322362
23,Kamloops,212,Kamloops,0100964000,001,"Downtown Retail, Comm, Indust","380 VICTORIA ST","VICTORIA ST","Lot A, Plan KAP19383, District Lot 232, Kamloops Div of Yale Land District",008-060-266,210,Bank,C304,Bank,632000,1314000,1946000,"Square Feet",7992,,CA6457351,21NOV2017,1305000,Sale,Improved,Qualified,F,KW10626,29JAN2004,790000,Sale,Improved,Qualified,F,,,,,,,,50.6760604,-120.3322489
